FormulaID,RawMaterialID
Neutrogena,"Sodium lauryl sulfate"
"Murad Skincare","Xanthan gum"
"Proactiv Skincare","Xanthan gum"
"Elemis Skincare","Stearic acid"
RéVive,"Stearic acid"
CeraVe,"Citric acid"
Neutrogena,"Xanthan gum"
"Murad Skincare","Green Tea Extract"
"Proactiv Skincare","Benzoyl Peroxide"
"Elemis Skincare","Dicaprylyl Carbonate"
RéVive,"Aloe Barbadensis"
CeraVe,Ceramides
Neutrogena,Dimethicone
"Murad Skincare","Pomegranate Extract"
"Proactiv Skincare","Salicylic Acid"
"Elemis Skincare","Isononyl Isononanoate"
RéVive,"Cetearyl Alcohol"
CeraVe,"Hyaluronic Acid"
Neutrogena,Phenoxyethanol
"Murad Skincare","Mushroom Peptides"
"Proactiv Skincare","Sodium Cocoyl Isethionate"
"Elemis Skincare",Dimethicone
RéVive,"Cetrimonium Chloride"
CeraVe,"Salicylic Acid"
Neutrogena,"Cetearyl Olivate"
"Murad Skincare","Salicylic Acid"
"Proactiv Skincare",Polyethylene
"Elemis Skincare",Phenoxyethanol
RéVive,Propanediol
CeraVe,Niacinamide
Neutrogena,"Polyacryla
mide"
"Murad Skincare","Hyaluronic Acid"
"Proactiv Skincare","Lauryl/Myristyl Benzoate"
"Elemis Skincare",Parfum
RéVive,"Hydrolyzed Rice Protein"
Neutrogena,"Sorbitan Olivate"
"Elemis Skincare","Lauryl Laurate"
RéVive,"Potassium Sorbate"
Neutrogena,Dimethiconol
"Elemis Skincare","Xanthan Gum"
RéVive,Tocopherol
"Elemis Skincare","Potassium Sorbate"
RéVive,Linalool
"Elemis Skincare","Disodium Edta"
"Murad Skincare","Supplier-wise Cost (USD/Kg)"
